datetime,se1_unspecified_generation,se2_unspecified_generation,se3_unspecified_generation,se4_unspecified_generation,se1_hydro_generation,se2_hydro_generation,se3_hydro_generation,se4_hydro_generation,se1_wind_generation,se2_wind_generation,se3_wind_generation,se4_wind_generation,se3_nuclear_generation,se1_thermal_generation,se2_thermal_generation,se3_thermal_generation,se4_thermal_generation,se1_solar_generation,se2_solar_generation,se3_solar_generation,se4_solar_generation,se1_energy_storage_generation,se2_energy_storage_generation,se3_energy_storage_generation,se4_energy_storage_generation,se1_wind_onshore,se2_wind_onshore,se3_wind_onshore,se4_wind_onshore,se1_wind_offshore,se2_wind_offshore,se3_wind_offshore,se4_wind_offshore
2024-06-03 03:00:00,0.01141,0.3872190000000001,3.7610199999999994,0.5951810000000001,1409.4106809999996,3789.758391000002,954.9369489999998,109.03190899999998,167.29447000000005,727.538024,610.969415,452.1489299999995,5538.1,4.943696000000001,81.64184000000002,247.14978100000002,65.60830700000001,0.3415740000000002,1.1130280000000004,4.707567999999968,0.6803010000000025,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 04:00:00,0.020384000000000003,0.37160300000000007,5.409642,0.6014180000000001,1632.1766359999997,4004.3512170000004,976.919925,108.822227,338.74859499999985,596.049482,561.1254969999994,382.93308300000035,5538.610000000001,3.55646,79.43621,273.823644,68.004221,1.0818969999999997,3.4970050000000015,37.523671,6.140080999999987,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 05:00:00,0.044525,0.4515440000000002,5.672733,0.7215910000000002,2039.279828000001,4374.6085340000045,1025.9344019999994,108.58200500000001,212.48515000000012,358.23212499999994,386.633970999999,340.3111800000001,5538.050000000001,3.8034740000000005,78.78012000000001,312.1463210000001,136.91097799999997,2.3290209999999996,8.6389,123.5271989999996,28.643202000000027,0.0,0.0,0.00468,0.0,,,,,,,,
2024-06-03 06:00:00,0.018605,0.8488389999999995,4.738207,1.2542519999999995,2649.596092,4592.8335579999975,1175.487250999999,103.31311699999999,123.533633,223.27384799999996,323.2476150000001,345.63292299999995,5538.480000000001,3.841482,80.64752000000001,328.92343900000003,250.265199,3.5639180000000015,14.564726000000006,290.3407479999993,84.00295799999981,0.0,0.0,0.0035199999999999997,0.0,,,,,,,,
2024-06-03 07:00:00,0.037481,1.1632179999999996,5.921532999999999,15.216049,2837.7155519999997,4640.622429000005,1191.495583999999,97.811589,206.47640899999993,294.35829700000016,342.2915889999998,371.1356270000001,5538.540000000001,3.82658,79.80315900000001,327.34274500000004,253.07299600000002,4.121478,21.828787000000016,530.1931659999997,193.01894200000015,0.0,0.0,0.596,0.0,,,,,,,,
2024-06-03 08:00:00,0.063548,1.5859679999999998,7.007098,2.5751880000000003,2744.901760999999,4631.042560000001,1129.8630309999994,86.74776900000002,403.493058,275.7911030000001,398.62839599999955,354.96065399999986,5539.63,3.47693,92.630754,326.279382,271.1961149999999,5.976283999999997,32.48640000000002,755.0756470000005,361.7244060000001,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 09:00:00,0.243488,1.903593999999999,30.89865,3.706520999999999,2811.1887570000004,4618.376065000005,1066.2913800000003,66.00868100000004,335.2663149999994,212.657224,486.88729400000005,361.3925920000004,5539.510000000001,3.22659,91.83393599999998,330.7313159999999,272.047331,6.651468,44.977402999999974,888.7658640000006,498.90129799999954,0.0,0.0,0.002,0.0,,,,,,,,
2024-06-03 10:00:00,0.08049999999999999,2.0456849999999993,17.739449,5.343106999999999,2666.7860009999986,4592.258605000002,1062.2377339999994,66.30873000000001,320.1409259999998,186.1089059999999,624.3230620000007,435.4120530000002,5539.45,3.3909220000000007,83.500948,277.898702,107.06071700000003,6.826186,44.83010999999997,914.5862600000015,583.3559870000017,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 11:00:00,0.078871,2.1606819999999995,11.699444999999997,3.777773,2595.236261000001,4418.839649999997,1025.6369439999996,55.540578999999994,303.87387600000034,260.61797600000006,842.8932499999997,543.205145,5538.3899999999985,3.2615279999999998,81.63883,234.38338500000003,53.024586,7.2050469999999995,42.66531099999997,955.299931999999,594.1808609999991,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 12:00:00,0.8564579999999999,2.0620060000000007,23.862848000000003,3.9994260000000006,2404.368255,4250.774393999997,1008.536629999999,55.17621999999999,354.10612800000007,469.2411220000002,1113.3244680000005,636.9877230000005,5533.760000000001,3.145774,80.20632,234.4806610000001,55.335980000000006,7.973548,41.78992300000003,950.8111629999997,590.0116229999993,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 13:00:00,0.028402,2.107626,28.43785,5.5927,2296.165269000001,4157.305643999998,1000.2595939999998,56.028834,357.94286599999987,759.2142529999999,1338.584346000002,757.1209129999993,5530.94,4.043106,81.74221,233.72509400000004,56.846843,5.615917999999999,40.984176,919.9727780000006,509.66081799999955,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 14:00:00,0.060411000000000006,2.0712410000000006,23.346670999999994,2.6129700000000002,2183.109753,4168.762294999999,993.5019689999995,59.87756500000003,227.594999,1264.0466190000006,1638.0826620000007,886.9174130000005,5530.359999999999,4.5309479999999995,78.49924000000001,220.1332959999999,69.64684399999996,3.538384999999998,30.652463000000015,792.8534799999995,399.1714930000002,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 15:00:00,0.009756,1.826626000000001,18.489453999999995,4.332965000000001,2052.602205999999,3959.683493999999,965.0351380000002,60.104197,185.66899199999995,1740.1936099999975,1854.510845000001,947.8849610000011,5530.400000000001,3.390858,80.26920999999999,206.18806700000007,72.32096799999998,1.8553059999999992,19.21167699999996,690.543187000003,289.646746,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 16:00:00,0.0051600000000000005,1.5746619999999998,21.256688999999994,5.515763,1980.6162040000004,3800.567891999999,964.7789279999993,70.09266199999993,185.57684500000002,1972.1604019999982,2075.635677000003,1082.0237079999997,5528.860000000001,2.99128,72.92492,198.47228800000008,72.62918900000003,1.3083609999999997,13.815933999999997,541.5283200000002,174.29845899999998,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 17:00:00,0.003783,1.0132420000000002,21.550506000000002,2.990127,1983.225018,3932.0082039999975,933.9149730000006,79.90208400000003,231.59011400000009,2144.177135999999,2279.037311999997,1076.2736819999996,5525.3,3.5419799999999997,72.71476,202.45115900000008,74.64191999999998,0.7161710000000001,11.046570999999993,348.4618649999992,98.85662799999994,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 18:00:00,0.0028359999999999995,0.649685,23.292531999999998,1.2478869999999997,1996.2416379999997,4055.5837830000028,902.4257079999996,107.547707,201.10970400000002,2114.1111189999983,2261.819599,1070.0777500000002,5528.47,3.54521,73.56882000000002,193.25922600000007,77.04638400000002,0.28448800000000013,5.598322000000007,154.84154799999976,50.620795999999935,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 19:00:00,0.005645,0.39819200000000027,23.815262999999998,13.948463999999998,1865.9622049999998,3999.873183,876.8256700000002,115.34854599999998,327.610558,2304.838065,2095.6806330000004,1008.5326919999999,5531.53,2.83322,78.36664,196.074529,75.159049,0.08336900000000001,1.990303999999998,40.64027699999996,17.258610000000026,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 20:00:00,0.00421,0.408119,24.726312999999998,3.4582100000000002,1543.0264990000007,3877.6814499999996,881.9043680000005,114.72798599999997,739.8016259999999,2270.603158999997,2017.394980000002,1093.78366,5534.64,3.27262,79.37449000000001,179.255672,74.68846799999999,0.022675,0.5566640000000002,5.03104799999997,2.5243139999999924,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 21:00:00,0.065022,0.409501,22.767008000000004,0.7401850000000001,1362.2141380000005,3548.7396260000005,826.7844100000002,109.878779,1204.2402059999995,2260.5158129999995,2130.1461479999994,1071.4677059999997,5536.59,2.97312,80.42496,177.49588500000002,74.39300000000001,0.011907000000000001,0.10784500000000002,1.2148889999999881,0.6508050000000025,0.0,0.0,0.0,0.0,,,,,,,,
