datetime,se1_profiled_supply_losses,se2_profiled_supply_losses,se3_profiled_supply_losses,se4_profiled_supply_losses,se1_metered_losses,se2_metered_losses,se3_metered_losses,se4_metered_losses
2018-01-08 15:00:00,-35.191544,-58.736322,-381.20756,-126.687202,,,,
2018-01-08 16:00:00,-36.366378,-61.341367,-416.151128,-138.108844,,,,
2018-01-08 17:00:00,-36.562534,-61.86394,-442.167999,-145.842794,,,,
2018-01-08 18:00:00,-35.797062,-60.401663,-444.503094,-145.697428,,,,
2018-01-08 19:00:00,-34.941198,-58.675387,-436.188729,-141.717179,,,,
2018-01-08 20:00:00,-33.95825,-56.937811,-419.87814,-136.167812,,,,
2018-01-08 21:00:00,-32.578092,-54.652417,-395.078536,-129.015485,,,,
2018-01-08 22:00:00,-30.982787,-51.75468,-364.566201,-120.405316,,,,
2018-01-08 23:00:00,-29.050867,-48.381656,-334.973553,-111.606689,,,,
2018-01-09 00:00:00,-27.917742,-46.404618,-315.898316,-106.786468,,,,
2018-01-09 01:00:00,-27.302293,-45.574231,-307.341311,-104.809576,,,,
2018-01-09 02:00:00,-27.050417,-45.714147,-304.254142,-104.542537,,,,
2018-01-09 03:00:00,-27.343031,-46.596988,-305.693633,-105.002628,,,,
2018-01-09 04:00:00,-27.993139,-48.31034,-312.736684,-106.77887,,,,
2018-01-09 05:00:00,-28.863459,-51.213997,-330.179395,-111.597187,,,,
2018-01-09 06:00:00,-29.843131,-54.751476,-362.544273,-121.523082,,,,
2018-01-09 07:00:00,-29.904634,-56.578015,-384.060815,-129.368384,,,,
2018-01-09 08:00:00,-29.820694,-56.539696,-382.294906,-129.013532,,,,
2018-01-09 09:00:00,-29.270896,-55.728958,-377.863923,-127.21522,,,,
2018-01-09 10:00:00,-29.094046,-55.399435,-375.112491,-124.10809,,,,
2018-01-09 11:00:00,-29.131295,-54.84022,-369.948895,-120.697908,,,,
2018-01-09 12:00:00,-29.142746,-54.077699,-367.091411,-117.124569,,,,
2018-01-09 13:00:00,-28.984512,-53.454663,-361.379861,-114.20545,,,,
2018-01-09 14:00:00,-29.771507,-54.594985,-364.594318,-115.569941,,,,
2018-01-09 15:00:00,-31.033196,-58.68789,-386.87641,-121.773985,,,,
2018-01-09 16:00:00,-32.164382,-63.178158,-425.825818,-135.216629,,,,
2018-01-09 17:00:00,-32.447221,-65.085936,-456.575937,-143.840246,,,,
2018-01-09 18:00:00,-31.843801,-64.260374,-461.001371,-143.092179,,,,
2018-01-09 19:00:00,-31.416446,-63.659385,-453.935205,-138.769831,,,,
2018-01-09 20:00:00,-30.64646,-62.787349,-437.539864,-132.162503,,,,
2018-01-09 21:00:00,-29.548232,-61.395697,-415.853268,-124.839741,,,,
2018-01-09 22:00:00,-28.136638,-59.213202,-387.880807,-115.389805,,,,
2018-01-09 23:00:00,-26.60152,-56.702461,-358.838672,-106.138354,,,,
2018-01-10 00:00:00,-25.771764,-55.53213,-342.655421,-101.13103,,,,
2018-01-10 01:00:00,-25.527173,-55.348266,-339.087537,-98.238455,,,,
2018-01-10 02:00:00,-25.611043,-55.8526,-338.230583,-97.355728,,,,
2018-01-10 03:00:00,-26.225657,-57.167007,-342.069513,-97.024234,,,,
2018-01-10 04:00:00,-27.194656,-59.376963,-350.525578,-97.581245,,,,
2018-01-10 05:00:00,-28.535015,-62.609938,-366.850704,-101.01714,,,,
2018-01-10 06:00:00,-30.093931,-66.466553,-398.602506,-109.808367,,,,
