datetime,se1_metered_consumption_excluding_interruptible_load,se2_metered_consumption_excluding_interruptible_load,se3_metered_consumption_excluding_interruptible_load,se4_metered_consumption_excluding_interruptible_load,se1_interruptible_load,se2_interruptible_load,se3_interruptible_load,se4_interruptible_load,se1_profiled_supply_consumption,se2_profiled_supply_consumption,se3_profiled_supply_consumption,se4_profiled_supply_consumption,se1_metered_consumption_over_50mw,se2_metered_consumption_over_50mw,se3_metered_consumption_over_50mw,se4_metered_consumption_over_50mw,se1_energy_storage_consumption,se2_energy_storage_consumption,se3_energy_storage_consumption,se4_energy_storage_consumption
2018-01-03 11:00:00,-1011.3636930000001,-1619.65576,-7792.699501,-2078.7214320000003,-3.578726,-8.014266,-47.941346,-2.078,-332.730292,-824.546435,-4573.935723,-1617.275516,,,,,,,,
2018-01-03 12:00:00,-1034.803925,-1592.943215,-7770.803091999999,-2036.7198660000001,-4.253959,-8.82188,-47.68729,-1.952,-338.492897,-820.924198,-4636.166502,-1645.196362,,,,,,,,
2018-01-03 13:00:00,-1052.67197,-1625.48135,-7858.270041000001,-2080.34862,-4.585826,-17.6167,-46.83833,-2.051,-344.361662,-813.074559,-4635.554872,-1640.678782,,,,,,,,
2018-01-03 14:00:00,-1063.58063,-1674.9344790000002,-7898.451642,-2063.797306,-10.348082,-17.535324,-45.356506,-2.184,-359.913369,-834.01404,-4679.763226,-1640.398272,,,,,,,,
2018-01-03 15:00:00,-1061.4897979999996,-1696.8684309999999,-7910.469113,-2036.474801,-10.872661,-18.060076,-50.200986,-2.175,-376.323763,-874.483305,-4922.846152,-1677.655955,,,,,,,,
2018-01-03 16:00:00,-1034.5211590000001,-1665.6154949999998,-7719.433600000001,-1957.1525059999997,-5.452593,-16.408772,-49.814598,-2.115,-392.878343,-918.931088,-5191.313254,-1792.072114,,,,,,,,
2018-01-03 17:00:00,-1032.430114,-1651.8560349999998,-7489.793929,-1895.9870070000002,-6.678445,-12.508717,-45.904458,-2.119,-397.882591,-926.371073,-5388.744841,-1849.595093,,,,,,,,
2018-01-03 18:00:00,-1006.321703,-1627.094547,-7276.103316,-1831.6766879999996,-3.386412,-14.673052,-45.386982,-2.208,-389.275198,-907.417821,-5374.427646,-1822.715329,,,,,,,,
2018-01-03 19:00:00,-997.2272110000001,-1596.391325,-7052.979985,-1739.165502,-8.250367,-17.125721,-47.313742,-2.086,-379.384083,-880.809718,-5234.004675,-1759.396506,,,,,,,,
2018-01-03 20:00:00,-992.5789110000002,-1529.877029,-6794.401253,-1682.457955,-7.022695,-17.874251,-42.893756,-2.11,-375.302616,-850.680049,-5002.494335,-1664.478826,,,,,,,,
2018-01-03 21:00:00,-974.6809229999999,-1495.5279709999998,-6523.539492,-1596.4713,-7.405684,-17.996012,-44.841078,-2.094,-367.235666,-815.523755,-4710.016039,-1567.090072,,,,,,,,
2018-01-03 22:00:00,-909.8553440000001,-1413.2910190000002,-6334.0903020000005,-1506.896114,-5.763291,-17.887595,-43.049766,-2.115,-362.723344,-776.463369,-4394.700487,-1460.204817,,,,,,,,
2018-01-03 23:00:00,-892.9363879999999,-1381.1559780000002,-6073.755907,-1434.671894,-10.382735,-17.260306,-37.601856,-1.793,-345.475409,-730.06087,-4017.752821,-1339.942383,,,,,,,,
2018-01-04 00:00:00,-881.8368350000001,-1365.9683199999997,-5847.510077999999,-1377.5310869999998,-11.933032,-7.450458,-34.672042,-2.019,-335.718576,-699.069694,-3780.101275,-1271.792895,,,,,,,,
2018-01-04 01:00:00,-878.7404809999999,-1360.5701669999999,-5753.872105000001,-1360.6163599999998,-19.323361,-6.4175,-33.72397,-1.906,-331.30636,-682.431152,-3649.249778,-1230.479155,,,,,,,,
2018-01-04 02:00:00,-872.260083,-1336.752884,-5699.343255,-1361.447771,-13.458979,-5.84425,-32.834962,-1.955,-331.25006,-675.058843,-3598.310826,-1213.29138,,,,,,,,
2018-01-04 03:00:00,-885.3253460000001,-1344.5872099999997,-5742.716495000001,-1361.2116189999997,-7.745501,-5.9116,-36.864098,-2.055,-335.523335,-676.008811,-3589.342208,-1206.445856,,,,,,,,
2018-01-04 04:00:00,-903.561496,-1361.480405,-5744.985453000001,-1381.99943,-12.68503,-6.5691,-38.849326,-2.021,-345.604417,-686.844183,-3637.629707,-1213.166756,,,,,,,,
2018-01-04 05:00:00,-926.5368970000001,-1413.200579,-6041.066021000001,-1481.895418,-21.283878,-6.7267,-38.42017,-2.043,-356.73946,-710.337038,-3772.603256,-1253.753535,,,,,,,,
2018-01-04 06:00:00,-967.196334,-1557.616982,-6676.497090000001,-1717.2220539999998,-9.16656,-7.67345,-38.44587,-1.906,-369.482035,-737.326426,-4031.82154,-1339.508703,,,,,,,,
2018-01-04 07:00:00,-1047.1766180000002,-1723.763119,-7345.290133000001,-1971.7701609999995,-4.056865,-8.43795,-35.607598,-1.895,-378.509746,-753.874427,-4229.110588,-1421.16893,,,,,,,,
2018-01-04 08:00:00,-1090.818606,-1822.226884,-7644.8399469999995,-2087.9291949999997,-4.280705,-8.3252,-32.885498,-2.031,-386.791064,-770.419878,-4387.279205,-1473.399316,,,,,,,,
2018-01-04 09:00:00,-1101.0936310000002,-1789.891484,-7628.922349,-2058.636094,-6.001679,-7.77865,-34.021946,-1.796,-391.787632,-772.874462,-4464.803292,-1494.317287,,,,,,,,
2018-01-04 10:00:00,-1099.399447,-1794.0943669999997,-7762.948404,-2098.7837139999997,-20.096502,-7.5395,-38.244938,-2.085,-395.857063,-776.250472,-4573.532855,-1527.711124,,,,,,,,
2018-01-04 11:00:00,-1097.5865170000002,-1778.949038,-7837.798677999999,-2102.129974,-18.287674,-7.39345,-39.009498,-1.918,-400.145042,-776.93654,-4623.111814,-1541.683206,,,,,,,,
2018-01-04 12:00:00,-1085.080207,-1777.9227430000003,-7854.895683999999,-2073.267128,-22.593409,-7.3849,-32.52501,-2.129,-402.595299,-772.956479,-4702.960017,-1547.194384,,,,,,,,
2018-01-04 13:00:00,-1099.9360929999998,-1790.6754560000002,-7812.416136,-2100.451935,-25.510953,-7.61855,-30.987642,-2.06,-402.09056,-767.591207,-4677.608626,-1534.867537,,,,,,,,
2018-01-04 14:00:00,-1106.8711349999999,-1814.992329,-7819.6422219999995,-2042.657755,-26.597397,-7.55055,-33.478726,-1.984,-411.834404,-779.948427,-4693.162206,-1531.616522,,,,,,,,
