datetime,se3_metered_consumption_excluding_interruptible_load,se3_interruptible_load,se3_profiled_supply_consumption,se3_metered_consumption_over_50mw,se3_energy_storage_consumption
2020-12-27 12:00:00,-4929.012402000026,-53.649322,-4626.260892,-633.470312,
2020-12-27 13:00:00,-5002.583392000005,-53.478269999999995,-4663.360332,-627.2767150000001,
2020-12-27 14:00:00,-5002.334192000004,-53.172478,-4712.575041,-647.1957019999999,
2020-12-27 15:00:00,-5124.007259000004,-53.17663,-4867.379131,-639.2396130000001,
2020-12-27 16:00:00,-5101.421454,-52.718495999999995,-5008.670054,-662.8269580000001,
2020-12-27 17:00:00,-5110.651076000006,-52.80959,-5078.045695,-683.6724979999999,
2020-12-27 18:00:00,-5045.505352000002,-51.709526,-5045.655601,-679.833017,
2020-12-27 19:00:00,-4949.12032700001,-52.60468600000001,-4876.744093,-672.6349029999999,
2020-12-27 20:00:00,-4859.128331000007,-52.107906,-4647.934088,-692.5189290000001,
2020-12-27 21:00:00,-4690.250907000008,-52.503858,-4407.442813,-692.202052,
2020-12-27 22:00:00,-4553.917886000014,-52.321134,-4152.742119,-693.023563,
2020-12-27 23:00:00,-4534.9154599999965,-51.86735,-3878.414494,-706.52958,
2020-12-28 00:00:00,-4467.752060000002,-37.720518,-3668.114661,-688.854052,
2020-12-28 01:00:00,-4389.569883,-34.154986,-3533.941887,-685.39735,
2020-12-28 02:00:00,-4346.782499,-33.386842,-3472.903805,-691.633391,
2020-12-28 03:00:00,-4314.152112999997,-34.777758000000006,-3452.061138,-688.5972990000001,
2020-12-28 04:00:00,-4361.164054999996,-35.923902,-3471.836959,-693.1043990000002,
2020-12-28 05:00:00,-4636.172693000001,-35.294994,-3551.252153,-695.3083740000001,
2020-12-28 06:00:00,-5105.875900999989,-36.830018,-3696.575292,-706.729569,
2020-12-28 07:00:00,-5587.200985000012,-42.190982,-3871.599667,-724.6422289999999,
2020-12-28 08:00:00,-5780.657589000016,-44.611774,-4097.293838,-721.9558000000001,
2020-12-28 09:00:00,-5875.7139510000125,-46.677690000000005,-4259.806349,-727.6435109999999,
2020-12-28 10:00:00,-5947.322525000009,-56.664913999999996,-4412.159625,-708.600022,
2020-12-28 11:00:00,-5961.696146,-60.785033999999996,-4515.509722,-727.689162,
2020-12-28 12:00:00,-5940.63050000001,-60.59397,-4594.938746,-726.22819,
2020-12-28 13:00:00,-6001.557310000015,-59.681714,-4609.298048,-714.560109,
2020-12-28 14:00:00,-6054.140527000002,-58.763486,-4647.012906,-697.9068589999999,
2020-12-28 15:00:00,-6068.645382000012,-64.877638,-4799.578085,-698.4474700000001,
2020-12-28 16:00:00,-5919.3273450000115,-80.133846,-4938.55863,-695.742113,
2020-12-28 17:00:00,-5746.09867500004,-82.262458,-5036.885241,-691.929012,
2020-12-28 18:00:00,-5504.530234000015,-82.43321399999999,-4988.971606,-690.2755380000001,
2020-12-28 19:00:00,-5302.924917000015,-83.36910599999999,-4804.104189,-696.3696060000001,
2020-12-28 20:00:00,-5079.916380000008,-82.90644400000001,-4564.641829,-696.344565,
2020-12-28 21:00:00,-4907.452404000014,-82.17656199999999,-4308.233713,-671.6806099999999,
2020-12-28 22:00:00,-4742.736288000004,-81.660834,-4034.698279,-659.7603529999999,
2020-12-28 23:00:00,-4591.078587000007,-74.087678,-3737.390482,-661.272178,
2020-12-29 00:00:00,-4452.201585999996,-60.623554,-3508.14759,-659.293097,
2020-12-29 01:00:00,-4388.3612170000015,-59.311986000000005,-3355.187773,-665.107849,
2020-12-29 02:00:00,-4340.076501000005,-58.771658,-3274.687668,-650.36712,
2020-12-29 03:00:00,-4326.697919000001,-58.679725999999995,-3239.497412,-647.381073,
2020-12-29 04:00:00,-4422.669196999999,-58.63921,-3244.914564,-667.033441,
2020-12-29 05:00:00,-4583.814391999998,-59.312178,-3306.689986,-676.1268729999999,
2020-12-29 06:00:00,-5105.156081999996,-60.401782,-3446.42168,-691.35664,
2020-12-29 07:00:00,-5523.814617,-48.542533999999996,-3624.492766,-688.744906,
2020-12-29 08:00:00,-5675.903285999997,-49.067721999999996,-3834.133384,-688.14389,
2020-12-29 09:00:00,-5694.040313000004,-49.276822,-3980.025361,-636.86601,
2020-12-29 10:00:00,-5774.368374999996,-49.77260999999999,-4133.601689,-667.886724,
2020-12-29 11:00:00,-5754.110062000004,-49.022242,-4228.708228,-673.626756,
2020-12-29 12:00:00,-5791.754620999997,-49.52596599999999,-4326.07906,-674.434179,
2020-12-29 13:00:00,-5803.097394999998,-48.927158,-4349.479698,-677.427583,
2020-12-29 14:00:00,-5797.961193000014,-48.443134,-4389.592223,-697.978954,
2020-12-29 15:00:00,-5884.091284999997,-48.821498,-4550.88956,-658.876526,
2020-12-29 16:00:00,-5751.337982999994,-51.14373,-4702.066616,-683.3544739999999,
2020-12-29 17:00:00,-5643.741607000001,-53.60821000000001,-4818.289636,-680.683291,
2020-12-29 18:00:00,-5429.0509639999955,-65.40341799999999,-4787.033777,-682.627059,
2020-12-29 19:00:00,-5184.683976999993,-67.288602,-4617.813806,-668.439043,
2020-12-29 20:00:00,-5045.445358000001,-64.916658,-4393.866165,-686.4034180000001,
2020-12-29 21:00:00,-4847.775910999996,-64.04963000000001,-4159.331246,-687.267707,
2020-12-29 22:00:00,-4688.534429000002,-63.400822,-3895.052224,-696.840064,
2020-12-29 23:00:00,-4537.721378999999,-62.66374199999999,-3611.769074,-696.092384,
2020-12-30 00:00:00,-4464.521113000017,-54.06003,-3400.071329,-701.956625,
2020-12-30 01:00:00,-4361.342130000006,-53.90519799999999,-3264.930003,-707.910268,
2020-12-30 02:00:00,-4378.353984000001,-53.86911399999999,-3206.717874,-715.090105,
2020-12-30 03:00:00,-4354.20552200002,-54.119606,-3201.759818,-728.207596,
2020-12-30 04:00:00,-4416.668713000021,-54.07761800000001,-3227.48646,-715.978084,
2020-12-30 05:00:00,-4618.119334000012,-54.84592,-3318.184782,-720.6307410000001,
2020-12-30 06:00:00,-5143.56538900001,-54.61588600000001,-3479.939035,-728.256628,
2020-12-30 07:00:00,-5572.874190000023,-55.75725,-3679.640982,-718.369288,
2020-12-30 08:00:00,-5732.846029000015,-55.71693799999999,-3921.316324,-702.834235,
2020-12-30 09:00:00,-5765.286427999999,-56.419638000000006,-4103.967114,-706.6767520000001,
2020-12-30 10:00:00,-5828.496891000022,-56.97139800000001,-4272.120873,-697.543355,
2020-12-30 11:00:00,-5909.494281000005,-56.37646599999999,-4389.074883,-700.0098360000001,
2020-12-30 12:00:00,-5879.95555100001,-61.74484199999999,-4470.440517,-704.2683440000001,
2020-12-30 13:00:00,-5893.985484000009,-56.494774,-4488.964359,-692.909495,
2020-12-30 14:00:00,-5852.410979000025,-57.500494,-4528.735728,-687.495268,
2020-12-30 15:00:00,-5870.4876820000045,-56.960518,-4726.295699,-700.514998,
2020-12-30 16:00:00,-5790.801669000004,-57.23776599999999,-4935.885447,-708.1504630000001,
2020-12-30 17:00:00,-5623.352051000011,-57.848758,-5062.245611,-725.4797349999999,
2020-12-30 18:00:00,-5414.756892000007,-57.639905999999996,-5043.325327,-728.262109,
2020-12-30 19:00:00,-5257.358817000033,-57.00735,-4879.286474,-717.231851,
2020-12-30 20:00:00,-5102.257970000006,-57.231998000000004,-4661.587742,-717.7206170000001,
2020-12-30 21:00:00,-4882.759596000021,-56.166214000000004,-4423.884775,-711.587261,
2020-12-30 22:00:00,-4705.668889000005,-56.67628599999999,-4176.9478,-711.5202980000001,
2020-12-30 23:00:00,-4572.238730000012,-55.936693999999996,-3908.565111,-712.531633,
2020-12-31 00:00:00,-4433.031382,-56.489842,-3671.417322,-706.535146,
2020-12-31 01:00:00,-4313.640914000018,-55.545970000000004,-3498.117742,-669.9793999999999,
2020-12-31 02:00:00,-4265.553074000001,-56.176306,-3408.014153,-674.0767450000002,
2020-12-31 03:00:00,-4260.435393000016,-56.95975,-3366.804345,-699.400588,
2020-12-31 04:00:00,-4239.5184559999925,-56.216746,-3367.206779,-701.050596,
2020-12-31 05:00:00,-4294.507173000016,-57.560674,-3401.799208,-692.986194,
2020-12-31 06:00:00,-4516.186371000001,-58.681822,-3476.782599,-684.1778110000001,
2020-12-31 07:00:00,-4683.69050699999,-58.15858,-3604.844745,-688.5473970000002,
2020-12-31 08:00:00,-4793.232557000006,-57.490578,-3817.204701,-693.5545260000001,
2020-12-31 09:00:00,-4837.941103000012,-57.51521,-4046.870559,-693.2598389999999,
2020-12-31 10:00:00,-4961.164161000007,-56.814042,-4284.59209,-698.6579049999999,
2020-12-31 11:00:00,-4968.975321000031,-57.153374,-4424.990105,-692.9822360000001,
2020-12-31 12:00:00,-5018.551488000016,-56.66905,-4520.717406,-694.7713539999999,
2020-12-31 13:00:00,-5011.687472000003,-57.928726000000005,-4574.298991,-684.0075400000001,
2020-12-31 14:00:00,-5053.882155000005,-57.394817999999994,-4678.364766,-670.8796790000001,
2020-12-31 15:00:00,-5133.749404000021,-57.95925799999999,-4952.375118,-662.975689,
2020-12-31 16:00:00,-5120.557423000004,-57.478594,-5204.229427,-654.4711460000001,
2020-12-31 17:00:00,-5019.236385000009,-57.24373,-5305.197655,-617.1866000000001,
2020-12-31 18:00:00,-4846.690659000005,-56.29024999999999,-5166.616321,-622.8589620000001,
2020-12-31 19:00:00,-4726.312664999995,-55.182486,-4856.993052,-622.1201619999999,
2020-12-31 20:00:00,-4565.478176000011,-54.55582199999999,-4515.629198,-643.431319,
