datetime,t2m,d2m,u10,v10,ssrd,tp,snowc,day,weekday,month,hour_sin,hour_cos,is_weekend,is_holiday,lag_24,lag_48,lag_168,lag_336,total_consumption
2023-03-29 04:00:00,265.4187,264.21262,0.54927063,-0.49170303,0.0,0.0,100.0,29,2,3,0.8660254037844386,0.5000000000000001,0,0,-9607.048160999995,-9548.492538000006,-7344.4680789999975,-8726.920909000006,-9479.073195999994
2023-03-29 05:00:00,266.44464,265.13904,-0.1985321,-0.53329086,26438.0,3.427267e-07,100.0,29,2,3,0.9659258262890683,0.25881904510252074,0,0,-10463.211698000001,-10374.326343000022,-7726.629438000014,-9130.45846200002,-10225.694778000008
2023-03-29 06:00:00,265.48904,263.87726,-1.0576477,-0.6250992,243684.0,5.1110983e-06,100.0,29,2,3,1.0,6.123233995736766e-17,0,0,-11145.407530000004,-11137.685411999977,-8530.431748000017,-9849.792348,-10908.439606000009
2023-03-29 07:00:00,266.8983,264.9745,-1.0760193,-0.18644714,565010.0,1.3336539e-05,100.0,29,2,3,0.9659258262890683,-0.25881904510252063,0,0,-11183.597033999999,-11322.845054000007,-9288.533808,-10438.969159000011,-10986.50821700002
2023-03-29 08:00:00,270.01257,266.01965,-1.7380829,0.15608501,824874.0,2.2873282e-05,100.0,29,2,3,0.8660254037844387,-0.4999999999999998,0,0,-11012.250936000002,-11148.180109000012,-9416.889930000008,-10338.217395000003,-10886.87885500003
2023-03-29 09:00:00,271.07587,265.67212,-2.1230316,0.6934023,1014938.0,4.4241548e-05,99.56055,29,2,3,0.7071067811865476,-0.7071067811865475,0,0,-10789.782075000005,-10993.180118,-9329.416657000002,-10074.783446,-10760.570481999994
2023-03-29 10:00:00,271.5699,265.7147,-2.3726196,1.1876526,1206574.0,7.888675e-05,99.56836,29,2,3,0.49999999999999994,-0.8660254037844387,0,0,-10598.107177000016,-10767.469469000003,-9333.951020999997,-9825.353533000009,-10655.479926000004
2023-03-29 11:00:00,271.59845,265.98187,-2.7057953,1.4367266,981954.0,0.00014787912,99.62109,29,2,3,0.258819045102521,-0.9659258262890682,0,0,-10519.82565900001,-10660.40434100002,-9294.634694000018,-9654.911133999996,-10544.720968000012
2023-03-29 12:00:00,271.5717,266.31232,-3.200119,1.3606234,932972.0,0.0002466172,99.87891,29,2,3,1.2246467991473532e-16,-1.0,0,0,-10259.073430000008,-10462.656513000025,-9265.584323000021,-9480.552691,-10394.681480000007
2023-03-29 13:00:00,271.3539,266.6937,-3.428238,1.017971,638630.0,0.0003642738,100.0,29,2,3,-0.2588190451025208,-0.9659258262890683,0,0,-10133.144647000021,-10570.613357999995,-9212.806342000005,-9298.909219000016,-10327.721216000013
2023-03-29 14:00:00,271.20032,267.04498,-3.5733337,0.6555414,496904.0,0.0004930646,100.0,29,2,3,-0.4999999999999997,-0.8660254037844388,0,0,-9925.291404000007,-10574.731087000011,-9160.421583999998,-9197.585252000006,-10273.841550999989
2023-03-29 15:00:00,271.0004,267.59598,-3.4620361,0.08981514,339580.0,0.00049597025,100.0,29,2,3,-0.7071067811865471,-0.7071067811865479,0,0,-9736.126484999999,-10560.127771000018,-9236.384406999998,-9133.490703000014,-10260.547899000014
2023-03-29 16:00:00,270.81256,267.8292,-3.5316925,-0.36406422,226312.0,0.00035387278,100.0,29,2,3,-0.8660254037844385,-0.5000000000000004,0,0,-9747.39398699999,-10636.000495,-9264.822665,-9185.741651999997,-10459.753267000011
